รหัสสาขา,ชื่อสาขา,อำเภอ,จังหวัด,ละติจูด,ลองจิจูด,สถานะ
CJX00028,ดอนชะเอม,ท่ามะกา,กาญจนบุรี,13.962774,99.793056,Active store
CJX00029,โรงเข้,บ้านแพ้ว,สมุทรสาคร,13.500002,100.081522,Active store
CJX00030,ธรรมศาลา,เมืองนครปฐม,นครปฐม,13.821044,100.101528,Active store
CJX00031,บางแขม,เมืองนครปฐม,นครปฐม,13.787213,100.030059,Active store
CJX00032,ถนนรถไฟตะวันตก,เมืองนครปฐม,นครปฐม,13.823903,100.031401,Active store
CJX00033,ปล่องเหลี่ยม,กระทุ่มแบน,สมุทรสาคร,13.674534,100.243956,Active store
CJX00034,แยกหนองนกไข่,สามพราน,นครปฐม,13.698696,100.206517,Active store
CJX00035,ซอยวัดนางสาว,กระทุ่มแบน,สมุทรสาคร,13.664956,100.273486,Active store
CJX00036,ไพรสะเดา,ปากท่อ,ราชบุรี,13.364665,99.767455,Active store
CJX00037,บ้านปรกวัดคู้สนามจันทร์,เมืองสมุทรสงคราม,สมุทรสงคราม,13.432547,99.988535,Active store
CJX00038,ซอยเพชรเกษม 130,กระทุ่มแบน,สมุทรสาคร,13.711479,100.288382,Active store
CJX00039,บางน้อยใน,บางคนที,สมุทรสงคราม,13.480215,99.968189,Active store
CJX00040,ดอนขมิ้น,ท่ามะกา,กาญจนบุรี,13.874804,99.821692,Active store
CJX00041,ตลาดหัวรอ,โพธาราม,ราชบุรี,13.691888,99.762897,Active store
CJX00042,กานดา นาดี,เมืองสมุทรสาคร,สมุทรสาคร,13.582553,100.307951,Active store
CJX00043,อัมพวันสองพี่น้อง,สองพี่น้อง,สุพรรณบุรี,14.213543,100.02572,Active store
CJX00044,ศรีสำราญ สองพี่น้อง,สองพี่น้อง,สุพรรณบุรี,14.22204,100.01575,Active store
CJX00045,ตลาดพืชมงคล,อู่ทอง,สุพรรณบุรี,14.358702,99.882395,Active store
CJX00046,บางแม่หม้าย,บางปลาม้า,สุพรรณบุรี,14.290286,100.132512,Active store
CJX00047,บ้านวันดี ซอยศรีเมือง,เมืองสมุทรสาคร,สมุทรสาคร,13.574064,100.264079,Active store
CJX00048,วังคัน,ด่านช้าง,สุพรรณบุรี,14.958235,99.64241,Active store
CJX00049,บ้านใหม่กิโล 8,ด่านช้าง,สุพรรณบุรี,14.844873,99.751337,Active store
CJX00050,วัดเจ็ดริ้ว,บ้านแพ้ว,สมุทรสาคร,13.642994,100.138997,Active store
CJX00051,สามแยกทับกระดาน,สองพี่น้อง,สุพรรณบุรี,14.142725,99.91594,Active store
CJX00052,วัดใหม่ราษฎร์เจริญธรรม,วัดเพลง,ราชบุรี,13.495844,99.857161,Cancel
